wt-1,wt-2,wt-3,ko-1,ko-2,ko-3,GeneName
3.058209095,3.097449542,1.837111238,5.872920052,5.057043603,3.256975146,Esam
0.317838232,0.348742846,0.236389656,0.291720869,0.299670619,0.361680545,Spa17
15.88854986,17.27712401,19.81372531,16.0169037,16.73131267,14.95502156,Fam50a
19.88255561,20.43394764,22.0965395,23.90539516,23.54627658,22.71661328,Emd
11.55786672,14.09075759,13.55604085,12.66709808,12.78239282,10.96012349,Taco1
0,0,0,0,0.007086828,0,Grik3
2.442231709,1.970367014,1.990651941,2.530375986,2.212334529,2.309438561,Gria3
0.336217711,0.348414463,0.333412329,0.349735414,0.253599622,0.425105858,Npas1
0.575076674,0.333451879,0.384677032,0.463453064,0.72734861,0.412326602,Sipa1l2
2.090047192,2.696855803,2.626979448,2.486223071,2.372474877,2.751266912,Ap4e1
14.66920898,16.715775,17.68790914,15.0075956,15.83253235,13.83211213,Blvra
0.611594414,0.295143033,0.331674932,0.311854752,0.352388493,0.628294679,Pdzd4
0.096904128,0,0.135134388,0.222353335,0.342619102,0.229731237,Srpk3
62.00170773,56.48648522,58.8023207,59.22169085,57.82202837,59.0556082,Idh3g
0.650157374,0.312883612,0.349937046,0.628139709,0.580731555,0.421838301,Pnck
21.47966378,20.51661524,19.42233836,23.51360658,20.58051858,19.83168258,Ssr4
88.52537868,97.58834732,82.35149487,100.4466505,101.9841311,103.5697014,Bcap31
15.896845,18.96700637,16.5271804,18.25600768,16.48700057,16.17772784,Fam98a
0.486225696,0.316484985,0.268155238,0.340376659,0.233101559,0.20318751,Ltbp2
5.328459771,5.134797339,4.814578039,6.030638595,6.236941942,6.315147704,Kmt2a
2.407258025,2.287610298,1.856834114,1.6980919,1.823656387,1.704594319,Ift46
0.167983245,0.518391258,0.175691534,0.501084177,0.217774333,0.258855321,Tmem25
0.061895325,0.037729801,0.153447186,0.018936423,0.038904928,0.117388516,Cd3g
11.2903981,9.120389927,11.16725412,13.16757137,12.2457975,11.83348637,Trappc6a
25.90392792,26.20621851,25.97353415,27.88478168,28.94044398,29.62132225,Supt6
46.03883403,44.74976139,55.23248089,40.2744831,41.36070505,43.41900768,Spag5
0,0,0,0,0,0.019899557,Foxn1
17.24703465,16.39981754,14.21560771,22.6573688,20.93693827,17.8965138,Unc119
